NAME_DIST;ACRONYM_DIST;COD_DIST;COD_SUB;AREA_DIST_m2;PERIMETER_DIST_km;AREA_DIST_VEG_m2;AREA_DIST_CITY_m2;AREA_DIST_SHADOWS_m2;DN;PREDICTED;AREA_POLYGON_m2;LAT;LONG
AGUA RASA;ARA;01;25;7177000.0;11.727;414782.621;6438240.937;323015.516;1;VEG;660.105;-23.54951430970281;-46.57865000636652
AGUA RASA;ARA;01;25;7177000.0;11.727;414782.621;6438240.937;323015.516;2;CITY;908.144;-23.549542214613872;-46.57880204132559
AGUA RASA;ARA;01;25;7177000.0;11.727;414782.621;6438240.937;323015.516;3;VEG;404.064;-23.54963334458495;-46.57900804040128
AGUA RASA;ARA;01;25;7177000.0;11.727;414782.621;6438240.937;323015.516;4;CITY;1032.163;-23.54958248680683;-46.57925153471378
AGUA RASA;ARA;01;25;7177000.0;11.727;414782.621;6438240.937;323015.516;5;VEG;496.078;-23.54975013956849;-46.57978299085432
AGUA RASA;ARA;01;25;7177000.0;11.727;414782.621;6438240.937;323015.516;6;CITY;1208.192;-23.54964180287857;-46.57850044447607
AGUA RASA;ARA;01;25;7177000.0;11.727;414782.621;6438240.937;323015.516;7;CITY;416.066;-23.54988879129579;-46.57858266880484
AGUA RASA;ARA;01;25;7177000.0;11.727;414782.621;6438240.937;323015.516;8;CITY;720.113;-23.54992287262168;-46.57988981776644
AGUA RASA;ARA;01;25;7177000.0;11.727;414782.621;6438240.937;323015.516;9;CITY;868.137;-23.54993109082772;-46.57962219669383
AGUA RASA;ARA;01;25;7177000.0;11.727;414782.621;6438240.937;323015.516;10;CITY;1492.236;-23.549778128137483;-46.579391498226514
AGUA RASA;ARA;01;25;7177000.0;11.727;414782.621;6438240.937;323015.516;11;VEG;680.107;-23.54988910277349;-46.58009028920848
AGUA RASA;ARA;01;25;7177000.0;11.727;414782.621;6438240.937;323015.516;12;VEG;1112.176;-23.549780076866263;-46.578842085715216
AGUA RASA;ARA;01;25;7177000.0;11.727;414782.621;6438240.937;323015.516;13;VEG;496.079;-23.55007857678071;-46.57826403627561
AGUA RASA;ARA;01;25;7177000.0;11.727;414782.621;6438240.937;323015.516;14;CITY;1172.184;-23.55001861489568;-46.58030562324473
AGUA RASA;ARA;01;25;7177000.0;11.727;414782.621;6438240.937;323015.516;15;CITY;468.074;-23.55013444580453;-46.5799948465329
AGUA RASA;ARA;01;25;7177000.0;11.727;414782.621;6438240.937;323015.516;16;CITY;1192.189;-23.54996268249466;-46.57902346502297
AGUA RASA;ARA;01;25;7177000.0;11.727;414782.621;6438240.937;323015.516;17;CITY;988.155;-23.55014570854767;-46.580534975462406
