NAME_DIST;ACRONYM_DIST;COD_DIST;COD_SUB;AREA_DIST_m2;PERIMETER_DIST_km;AREA_DIST_VEG_m2;AREA_DIST_CITY_m2;AREA_DIST_SHADOWS_m2;DN;PREDICTED;AREA_POLYGON_m2;LAT;LONG
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;1;VEG;1668.17;-23.551137410501298;-46.64680974022287
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;2;CITY;548.056;-23.55169316190491;-46.64654346326135
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;3;SHADOWS;1004.102;-23.55157283926426;-46.647076711647614
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;4;CITY;900.091;-23.55161063048803;-46.64785492334537
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;5;SHADOWS;568.057;-23.55172047085235;-46.648243787309774
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;6;CITY;564.057;-23.55172419349894;-46.647356492251184
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;7;VEG;852.087;-23.55166703670907;-46.64686841204852
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;8;SHADOWS;3636.372;-23.55143259209784;-46.64655215729666
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;9;CITY;928.094;-23.55185948419709;-46.64700873883759
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;10;SHADOWS;680.068;-23.55193706641136;-46.6484247644241
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;11;SHADOWS;1984.201;-23.55169772265125;-46.6478050832786
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;12;SHADOWS;568.058;-23.551790556789967;-46.647546565847385
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;13;CITY;428.043;-23.551858438636437;-46.64863017190993
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;14;CITY;604.061;-23.55182070032225;-46.64835853621364
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;15;CITY;1060.107;-23.551957440001328;-46.64748054894781
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;16;CITY;440.045;-23.552065455481287;-46.646283890925375
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;17;SHADOWS;1304.133;-23.551911344126065;-46.64665667345362
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;18;SHADOWS;964.097;-23.55202681034753;-46.64784104120671
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;19;CITY;640.064;-23.552104382224417;-46.64941651768936
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;20;CITY;648.065;-23.55220665130276;-46.64964280389295
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;21;CITY;472.048;-23.552152956906102;-46.64734645827232
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;22;CITY;576.058;-23.552150472827943;-46.647867247971895
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;23;CITY;2192.22;-23.552087767973774;-46.64851460672482
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;24;SHADOWS;1640.168;-23.552243832211715;-46.64635278053719
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;25;CITY;1736.174;-23.552127138663284;-46.64893969820241
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;26;VEG;440.044;-23.552354379069016;-46.64867454138097
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;27;SHADOWS;588.06;-23.552363022944345;-46.64705878032375
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;28;SHADOWS;740.074;-23.552378207663683;-46.6484618181084
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;29;CITY;1340.133;-23.552323645455026;-46.650047227138266
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;30;CITY;872.089;-23.5524795134811;-46.64666996337839
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;31;SHADOWS;884.088;-23.55245970024357;-46.64902271062465
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;32;SHADOWS;3372.336;-23.552326794813983;-46.64946782006726
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;33;CITY;1892.192;-23.552261245613604;-46.64721197541508
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;34;CITY;508.052;-23.552461663672258;-46.6464675734408
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;35;CITY;1352.139;-23.55227063438048;-46.64605335562728
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;36;SHADOWS;584.059;-23.552588096486748;-46.64791159281005
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;37;CITY;812.08;-23.552584936316933;-46.65068355715157
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;38;CITY;1592.159;-23.552617485015777;-46.64927310107336
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;39;VEG;844.085;-23.55259421676721;-46.648698926748025
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;40;CITY;868.089;-23.55253166028596;-46.646144883275085
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;41;SHADOWS;788.08;-23.552697753627825;-46.64672397168208
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;42;CITY;472.048;-23.55278130590606;-46.646950356834594
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;43;CITY;920.094;-23.552714502177142;-46.64631658269526
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;44;CITY;2308.233;-23.5524075840564;-46.64805196288417
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;45;CITY;468.048;-23.55266342114709;-46.64717407468729
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;46;SHADOWS;2280.226;-23.55254588851677;-46.65025742964499
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;47;CITY;656.065;-23.552724392299197;-46.65097936735011
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;48;CITY;2288.233;-23.552369249715955;-46.646863077186666
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;49;CITY;536.055;-23.552796986560093;-46.64656371087695
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;50;CITY;536.054;-23.552686514331143;-46.64743719342207
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;51;SHADOWS;780.079;-23.55280041252277;-46.64732983504627
BELA VISTA;BVI;7;09;2718000.0;7.313;423788.912;1599378.811;694537.021;52;VEG;744.076;-23.55290257567324;-46.64631228443982
