NAME_DIST;ACRONYM_DIST;COD_DIST;COD_SUB;AREA_DIST_m2;PERIMETER_DIST_km;AREA_DIST_VEG_m2;AREA_DIST_CITY_m2;AREA_DIST_SHADOWS_m2;DN;PREDICTED;AREA_POLYGON_m2;LAT;LONG
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;1;VEG;1240.119;-23.517114783143025;-46.653200717347474
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;2;CITY;448.043;-23.51721273499733;-46.65348210221134
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;3;CITY;436.042;-23.517056844231927;-46.65384094975352
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;4;CITY;452.044;-23.517269026219747;-46.65200332155841
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;5;CITY;920.089;-23.51721290999865;-46.65302007139992
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;6;SHADOWS;7668.743;-23.517103705859835;-46.652271636807605
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;7;CITY;688.066;-23.51732151614889;-46.65273865115632
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;8;CITY;608.059;-23.517325369136685;-46.65210514506169
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;9;CITY;656.064;-23.51739118689329;-46.65108329509725
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;10;CITY;476.046;-23.517418391403;-46.65188887660847
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;11;VEG;1104.106;-23.51730369228793;-46.65357605437134
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;12;VEG;432.041;-23.51705273860652;-46.65398514585164
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;13;CITY;760.074;-23.517431600739453;-46.65123707609144
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;14;VEG;504.049;-23.51743707236549;-46.6531064423926
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;15;CITY;412.039;-23.51740892974065;-46.653706242111646
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;16;VEG;1328.131;-23.51752460275304;-46.64998182866889
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;17;VEG;756.074;-23.51749305599907;-46.65177547740383
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;18;CITY;416.04;-23.517347513680026;-46.65396135051334
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;19;SHADOWS;888.086;-23.51754920690697;-46.651759246318974
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;20;CITY;1180.116;-23.51754718056345;-46.65098664683988
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;21;VEG;620.059;-23.51755801248497;-46.653607444410014
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;22;CITY;468.046;-23.51759584902282;-46.651851087533146
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;23;CITY;756.075;-23.51764843767093;-46.64966631990853
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;24;CITY;412.04;-23.51764463357781;-46.65208396225992
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;25;VEG;1040.1;-23.517587892953127;-46.65283629157942
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;26;CITY;1508.146;-23.517463309137536;-46.65259918981746
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;27;VEG;932.093;-23.51768996553204;-46.64862747587728
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;28;VEG;644.062;-23.5175258701359;-46.65347091317955
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;29;CITY;432.042;-23.51768013466313;-46.65233636467772
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;30;VEG;1256.123;-23.51768959107222;-46.65104170579705
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;31;CITY;1356.134;-23.51765210558803;-46.65008195334285
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;32;CITY;1128.113;-23.51781018902692;-46.64889402614151
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;33;VEG;664.067;-23.517780857402443;-46.64797571957637
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;34;VEG;440.042;-23.51760399247524;-46.6538397067599
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;35;CITY;1100.107;-23.517774287932323;-46.65150718694959
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;36;CITY;532.052;-23.517785844437604;-46.65098043792961
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;37;CITY;860.085;-23.517768437678946;-46.65019828318389
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;38;CITY;596.06;-23.51776016012908;-46.64875942720199
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;39;CITY;940.09;-23.51772738717689;-46.65361906912876
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;40;CITY;524.052;-23.517896045140933;-46.64883812088672
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;41;CITY;552.055;-23.517872895517463;-46.64818029217412
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;42;CITY;472.048;-23.51790887842148;-46.64781462487554
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;43;VEG;452.046;-23.51792687884642;-46.64708564403048
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;44;VEG;884.09;-23.5180146624001;-46.64612009307423
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;45;CITY;960.095;-23.51787401856376;-46.65053654152094
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;46;CITY;676.068;-23.518040037598706;-46.64722814760523
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;47;CITY;1024.1;-23.517885993599982;-46.65187474443527
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;48;CITY;672.064;-23.51782676177431;-46.65389990538895
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;49;CITY;1788.182;-23.51800303791489;-46.64689212515818
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;50;CITY;1004.1;-23.51798621169453;-46.64975187866406
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;51;CITY;2964.297;-23.51798844954806;-46.64859365746721
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;52;CITY;3868.373;-23.517783189257376;-46.65281686279835
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;53;VEG;724.07;-23.518051324716406;-46.65301335507905
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;54;CITY;956.095;-23.518125261318225;-46.6495250856106
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;55;CITY;960.095;-23.5180280191101;-46.6503697800297
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;56;CITY;876.09;-23.518164319094435;-46.645188389857296
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;57;CITY;1968.193;-23.517965730888896;-46.65114018963288
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;58;CITY;1628.162;-23.51792103580952;-46.64959038540959
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;59;CITY;444.044;-23.518133400529404;-46.6485214777328
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;60;CITY;476.048;-23.518143302902416;-46.64804596173289
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;61;CITY;1296.126;-23.5180079292337;-46.652312106243656
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;62;VEG;1484.154;-23.518254860728355;-46.64417862529622
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;63;CITY;1776.18;-23.51820343022742;-46.64703626251316
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;64;VEG;1824.175;-23.51803054767872;-46.653389032848416
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;65;SHADOWS;508.051;-23.518195992451368;-46.64901824627815
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;66;CITY;1560.16;-23.518199998485787;-46.64598019560409
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;67;CITY;1148.118;-23.518234937453816;-46.645082299953245
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;68;CITY;424.043;-23.51821259499278;-46.64743999952423
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;69;CITY;732.074;-23.51825323556119;-46.647826080120005
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;70;CITY;480.047;-23.51802548079916;-46.65146059294754
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;71;CITY;660.067;-23.518209396663643;-46.64679836996674
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;72;CITY;484.047;-23.51822695074868;-46.65305452388657
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;73;CITY;960.095;-23.518120154171307;-46.6501969489436
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;74;VEG;768.077;-23.51829784500628;-46.64828498116945
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;75;CITY;436.044;-23.51825939108592;-46.64639004143075
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;76;CITY;660.068;-23.51834850823595;-46.64431424493664
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;77;VEG;804.08;-23.51820033329061;-46.64860245614387
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;79;VEG;1448.143;-23.5183002632244;-46.65010408602495
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;80;CITY;636.066;-23.51835290163805;-46.64491296827602
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;81;CITY;2156.221;-23.518369300901817;-46.645721173560936
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;82;VEG;1816.176;-23.518212892680506;-46.652403672028136
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;83;CITY;560.057;-23.518397066406667;-46.64659242971636
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;84;CITY;740.077;-23.51844580948292;-46.64368666140435
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;85;CITY;808.084;-23.518448330709155;-46.644159356808686
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;86;VEG;640.067;-23.51846651090744;-46.642918126613175
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;87;SHADOWS;616.066;-23.51847823845501;-46.640256999987294
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;88;CITY;404.041;-23.5184309836112;-46.64693392816563
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;89;CITY;1612.163;-23.51836286040685;-46.647410855696656
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;90;CITY;544.055;-23.518450510863115;-46.64785938361775
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;91;SHADOWS;1272.137;-23.518541252287584;-46.63915621437274
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;92;VEG;1292.125;-23.51822597803984;-46.652816163494535
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;93;CITY;408.04;-23.518381282284864;-46.65196360662865
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;94;VEG;748.08;-23.518551228194653;-46.64041146724474
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;95;CITY;868.085;-23.51834058840484;-46.65105149063881
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;96;VEG;1748.168;-23.518256880829373;-46.653271848565126
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;97;CITY;1720.168;-23.518240758451217;-46.651277968578086
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;98;CITY;444.045;-23.51839963913633;-46.64828623897687
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;99;VEG;804.08;-23.518440537504446;-46.64889757936952
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;100;VEG;724.075;-23.518441632179627;-46.64482163579626
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;101;CITY;1096.108;-23.518276036927947;-46.65074780198616
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;102;VEG;560.055;-23.51841473720862;-46.64999190593627
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;103;VEG;528.052;-23.518429687643035;-46.64943925491601
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;104;CITY;440.045;-23.51853242364896;-46.6454461605603
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;105;CITY;644.066;-23.51851786519655;-46.64497809438113
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;106;CITY;1216.121;-23.5183361789482;-46.6488366309509
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;107;CITY;500.051;-23.518524518807265;-46.64733935245047
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;108;CITY;1116.114;-23.51848941842849;-46.64624927998338
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;109;CITY;792.081;-23.51854753896821;-46.64665637875526
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;110;CITY;1596.168;-23.518580828416194;-46.64285111266023
BOM RETIRO;BRE;9;09;4206000.0;9.177;620351.723;3210914.479;374514.702;111;VEG;2432.269;-23.518752833232178;-46.6361785383311
