NAME_DIST;ACRONYM_DIST;COD_DIST;COD_SUB;AREA_DIST_m2;PERIMETER_DIST_km;AREA_DIST_VEG_m2;AREA_DIST_CITY_m2;AREA_DIST_SHADOWS_m2;DN;PREDICTED;AREA_POLYGON_m2;LAT;LONG
BRAS;BRS;10;25;3630000.0;9.033;161720.184;3136333.052;331300.258;1;SHADOWS;608.079;-23.533333924145907;-46.61351574064903
BRAS;BRS;10;25;3630000.0;9.033;161720.184;3136333.052;331300.258;2;CITY;1240.161;-23.53340165991205;-46.61309780996951
BRAS;BRS;10;25;3630000.0;9.033;161720.184;3136333.052;331300.258;3;CITY;1932.251;-23.533232261465034;-46.61322299881312
BRAS;BRS;10;25;3630000.0;9.033;161720.184;3136333.052;331300.258;4;CITY;2100.273;-23.53357928290233;-46.613217574197805
BRAS;BRS;10;25;3630000.0;9.033;161720.184;3136333.052;331300.258;5;SHADOWS;788.102;-23.533576864399;-46.61358839914528
BRAS;BRS;10;25;3630000.0;9.033;161720.184;3136333.052;331300.258;6;CITY;684.088;-23.533798080229005;-46.61393243330414
BRAS;BRS;10;25;3630000.0;9.033;161720.184;3136333.052;331300.258;7;CITY;816.106;-23.53379770509268;-46.61303336598898
BRAS;BRS;10;25;3630000.0;9.033;161720.184;3136333.052;331300.258;8;CITY;572.075;-23.533788291315503;-46.61272886891055
BRAS;BRS;10;25;3630000.0;9.033;161720.184;3136333.052;331300.258;9;CITY;1704.221;-23.533685875727382;-46.61384905795758
BRAS;BRS;10;25;3630000.0;9.033;161720.184;3136333.052;331300.258;10;CITY;836.108;-23.533963019304444;-46.61392292796639
BRAS;BRS;10;25;3630000.0;9.033;161720.184;3136333.052;331300.258;11;CITY;484.062;-23.533926890392035;-46.61423527297414
BRAS;BRS;10;25;3630000.0;9.033;161720.184;3136333.052;331300.258;12;CITY;712.093;-23.53402396861518;-46.61286714672454
BRAS;BRS;10;25;3630000.0;9.033;161720.184;3136333.052;331300.258;13;CITY;1072.139;-23.534023105482063;-46.61359488116993
BRAS;BRS;10;25;3630000.0;9.033;161720.184;3136333.052;331300.258;14;CITY;1000.131;-23.53400955037412;-46.61250265765683
BRAS;BRS;10;25;3630000.0;9.033;161720.184;3136333.052;331300.258;15;CITY;440.057;-23.53406712907636;-46.61264283826631
BRAS;BRS;10;25;3630000.0;9.033;161720.184;3136333.052;331300.258;16;SHADOWS;1008.131;-23.53400214526659;-46.61315081317086
BRAS;BRS;10;25;3630000.0;9.033;161720.184;3136333.052;331300.258;17;CITY;404.052;-23.534174077201083;-46.61415535275096
BRAS;BRS;10;25;3630000.0;9.033;161720.184;3136333.052;331300.258;18;CITY;600.078;-23.534170627846184;-46.61328118139662
BRAS;BRS;10;25;3630000.0;9.033;161720.184;3136333.052;331300.258;19;CITY;492.064;-23.53426521528074;-46.612486411459976
BRAS;BRS;10;25;3630000.0;9.033;161720.184;3136333.052;331300.258;20;CITY;408.053;-23.53416902217081;-46.61279323597552
BRAS;BRS;10;25;3630000.0;9.033;161720.184;3136333.052;331300.258;21;CITY;908.117;-23.534178417640177;-46.61441850635023
BRAS;BRS;10;25;3630000.0;9.033;161720.184;3136333.052;331300.258;22;CITY;1492.195;-23.533976077741915;-46.612274937033725
