NAME_DIST;ACRONYM_DIST;COD_DIST;COD_SUB;AREA_DIST_m2;PERIMETER_DIST_km;AREA_DIST_VEG_m2;AREA_DIST_CITY_m2;AREA_DIST_SHADOWS_m2;DN;PREDICTED;AREA_POLYGON_m2;LAT;LONG
JD PAULISTA;JDP;45;11;6187000.0;10.833;1633552.452;3197209.491;1355356.402;1;VEG;664.05;-23.55154705558047;-46.677486969264784
JD PAULISTA;JDP;45;11;6187000.0;10.833;1633552.452;3197209.491;1355356.402;2;VEG;1572.119;-23.551571582276086;-46.67717297087335
JD PAULISTA;JDP;45;11;6187000.0;10.833;1633552.452;3197209.491;1355356.402;3;VEG;572.043;-23.5518074519396;-46.67717698303933
JD PAULISTA;JDP;45;11;6187000.0;10.833;1633552.452;3197209.491;1355356.402;4;CITY;672.051;-23.551918929077498;-46.677008714392926
JD PAULISTA;JDP;45;11;6187000.0;10.833;1633552.452;3197209.491;1355356.402;5;CITY;476.036;-23.551986045767766;-46.67687432276114
JD PAULISTA;JDP;45;11;6187000.0;10.833;1633552.452;3197209.491;1355356.402;6;CITY;1116.085;-23.551945339032912;-46.67654677149554
JD PAULISTA;JDP;45;11;6187000.0;10.833;1633552.452;3197209.491;1355356.402;7;VEG;784.06;-23.55207979954359;-46.67677359251026
JD PAULISTA;JDP;45;11;6187000.0;10.833;1633552.452;3197209.491;1355356.402;8;VEG;872.066;-23.552006702057227;-46.677363702124055
JD PAULISTA;JDP;45;11;6187000.0;10.833;1633552.452;3197209.491;1355356.402;9;VEG;932.072;-23.552175698037278;-46.67630475296182
JD PAULISTA;JDP;45;11;6187000.0;10.833;1633552.452;3197209.491;1355356.402;10;CITY;1192.092;-23.552269186242835;-46.67586252530651
JD PAULISTA;JDP;45;11;6187000.0;10.833;1633552.452;3197209.491;1355356.402;11;VEG;808.061;-23.55219788558782;-46.677268548125255
JD PAULISTA;JDP;45;11;6187000.0;10.833;1633552.452;3197209.491;1355356.402;12;CITY;2408.182;-23.55191583371266;-46.677656465529154
