NAME_DIST;ACRONYM_DIST;COD_DIST;COD_SUB;AREA_DIST_m2;PERIMETER_DIST_km;AREA_DIST_VEG_m2;AREA_DIST_CITY_m2;AREA_DIST_SHADOWS_m2;DN;PREDICTED;AREA_POLYGON_m2;LAT;LONG
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;1;CITY;588.07;-23.555062579278488;-46.62708773932364
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;2;CITY;432.051;-23.55580933248486;-46.626905604848304
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;3;CITY;1460.173;-23.55577399048551;-46.627102102913234
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;4;CITY;2752.327;-23.555304470058378;-46.62688275549194
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;5;CITY;1372.162;-23.55584681021883;-46.627342035014735
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;6;CITY;1360.161;-23.555658908328667;-46.62736266233102
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;7;CITY;836.099;-23.556178778298392;-46.62692999027697
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;8;CITY;1076.127;-23.556287504570726;-46.62734231023921
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;9;CITY;1344.159;-23.55614889121352;-46.62790454430312
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;10;VEG;436.048;-23.55647333116282;-46.6370870291526
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;11;CITY;632.074;-23.556464534617152;-46.628685061591085
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;12;VEG;1084.128;-23.55629529525172;-46.62720450146292
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;13;CITY;428.051;-23.556495420395656;-46.62700044175894
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;14;VEG;428.051;-23.556510229486303;-46.62739135810214
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;15;CITY;488.058;-23.55614884670048;-46.62668106430125
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;16;CITY;804.095;-23.556337123292217;-46.627628125039315
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;17;CITY;932.109;-23.556511178705904;-46.628477055167544
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;18;VEG;1724.203;-23.556489931749365;-46.62793282422919
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;19;CITY;1212.141;-23.556621845092035;-46.63000835335141
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;20;CITY;460.054;-23.556552629811893;-46.629573135314125
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;21;VEG;524.062;-23.556670124639645;-46.62800592674106
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;22;CITY;548.065;-23.556623810252134;-46.62737520304153
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;23;CITY;544.064;-23.556556201384833;-46.62920218402142
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;24;VEG;476.056;-23.556649644403993;-46.62827750741943
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;25;CITY;952.113;-23.55659404092012;-46.62697019212542
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;26;CITY;624.072;-23.556645056300624;-46.63047997334196
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;27;VEG;760.09;-23.556737544660947;-46.62746601012531
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;28;CITY;1560.18;-23.556663592972857;-46.63085904399568
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;29;CITY;656.077;-23.55674752741482;-46.629092645943544
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;30;CITY;1544.178;-23.556721166102406;-46.63146193064175
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;31;CITY;1684.185;-23.556504261489565;-46.637328701157614
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;32;CITY;428.047;-23.556630372027154;-46.636512788686275
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;33;CITY;552.065;-23.556706863155625;-46.62764251479845
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;34;CITY;412.048;-23.55666347683789;-46.62862686823401
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;35;CITY;576.064;-23.556706694177954;-46.63612686021166
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;36;CITY;932.111;-23.55682753627264;-46.626949616240154
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;37;CITY;1804.21;-23.556615068209307;-46.62980029561442
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;38;CITY;896.099;-23.556676590350587;-46.63669881446072
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;39;CITY;580.067;-23.556723750411106;-46.630285832066896
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;40;VEG;1528.17;-23.55677604708233;-46.635652232432854
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;41;SHADOWS;1068.123;-23.556862851273117;-46.63149206837884
LIBERDADE;LIB;49;09;3651000.0;8.189;570461.731;2509168.979;571127.985;42;VEG;932.102;-23.556640745234596;-46.63771879411919
