NAME_DIST;ACRONYM_DIST;COD_DIST;COD_SUB;AREA_DIST_m2;PERIMETER_DIST_km;AREA_DIST_VEG_m2;AREA_DIST_CITY_m2;AREA_DIST_SHADOWS_m2;DN;PREDICTED;AREA_POLYGON_m2;LAT;LONG
MOOCA;MOO;53;25;7949000.0;13.07;731442.843;6569437.446;646941.224;1;CITY;1092.157;-23.54408458749436;-46.59616688063503
MOOCA;MOO;53;25;7949000.0;13.07;731442.843;6569437.446;646941.224;2;CITY;472.068;-23.544360651647352;-46.59724492836056
MOOCA;MOO;53;25;7949000.0;13.07;731442.843;6569437.446;646941.224;3;CITY;696.1;-23.544446295385303;-46.59718344172463
MOOCA;MOO;53;25;7949000.0;13.07;731442.843;6569437.446;646941.224;4;CITY;664.095;-23.544324970048443;-46.597472024669344
MOOCA;MOO;53;25;7949000.0;13.07;731442.843;6569437.446;646941.224;5;CITY;956.137;-23.5442889399002;-46.59688358745887
MOOCA;MOO;53;25;7949000.0;13.07;731442.843;6569437.446;646941.224;6;CITY;1616.233;-23.54446732421746;-46.596221387505985
MOOCA;MOO;53;25;7949000.0;13.07;731442.843;6569437.446;646941.224;7;CITY;828.119;-23.544520024429048;-46.596514502207796
MOOCA;MOO;53;25;7949000.0;13.07;731442.843;6569437.446;646941.224;8;CITY;464.066;-23.544553132251032;-46.597731400573984
MOOCA;MOO;53;25;7949000.0;13.07;731442.843;6569437.446;646941.224;9;CITY;548.078;-23.544547870126678;-46.59748849964195
MOOCA;MOO;53;25;7949000.0;13.07;731442.843;6569437.446;646941.224;10;CITY;1328.191;-23.544464716405603;-46.5967675341902
MOOCA;MOO;53;25;7949000.0;13.07;731442.843;6569437.446;646941.224;11;CITY;1036.149;-23.544620158662134;-46.596361812474456
MOOCA;MOO;53;25;7949000.0;13.07;731442.843;6569437.446;646941.224;12;CITY;436.062;-23.544724422951994;-46.597740013789874
MOOCA;MOO;53;25;7949000.0;13.07;731442.843;6569437.446;646941.224;13;CITY;732.104;-23.544596266279314;-46.59791377567021
MOOCA;MOO;53;25;7949000.0;13.07;731442.843;6569437.446;646941.224;14;CITY;736.105;-23.544654452713594;-46.59731209653227
MOOCA;MOO;53;25;7949000.0;13.07;731442.843;6569437.446;646941.224;15;CITY;752.107;-23.544625665128628;-46.598217403556866
MOOCA;MOO;53;25;7949000.0;13.07;731442.843;6569437.446;646941.224;16;CITY;1196.172;-23.544821079329832;-46.59679083098981
MOOCA;MOO;53;25;7949000.0;13.07;731442.843;6569437.446;646941.224;17;CITY;428.061;-23.54477268318237;-46.59828654113898
MOOCA;MOO;53;25;7949000.0;13.07;731442.843;6569437.446;646941.224;18;CITY;616.087;-23.54479690850396;-46.59912499239652
