NAME_DIST;ACRONYM_DIST;COD_DIST;COD_SUB;AREA_DIST_m2;PERIMETER_DIST_km;AREA_DIST_VEG_m2;AREA_DIST_CITY_m2;AREA_DIST_SHADOWS_m2;DN;PREDICTED;AREA_POLYGON_m2;LAT;LONG
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;1;CITY;828.103;-23.518891396857438;-46.61922920799768
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;2;VEG;624.078;-23.51894451017743;-46.61911146014708
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;3;CITY;1124.14;-23.519010629979537;-46.61966272499881
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;4;CITY;1144.143;-23.519080517763797;-46.619534106570285
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;5;CITY;1040.131;-23.519149100086445;-46.61838571348517
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;6;CITY;780.098;-23.519096179786224;-46.61826432812176
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;7;VEG;780.098;-23.51917212546236;-46.618755016273774
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;8;CITY;944.118;-23.519237208034134;-46.61931322233927
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;9;VEG;1456.18;-23.519088638541287;-46.62070605908656
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;10;CITY;756.093;-23.51918628100715;-46.62086592137637
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;11;VEG;1420.179;-23.51910919519399;-46.61792613789474
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;12;VEG;476.06;-23.519306054438626;-46.61809583889404
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;13;VEG;1724.214;-23.51920884353027;-46.61976196443749
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;14;CITY;800.1;-23.519384995621056;-46.6189550084303
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;15;CITY;688.086;-23.519392055636335;-46.6198266763705
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;16;CITY;1240.153;-23.519242800932506;-46.62081833384405
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;17;CITY;888.112;-23.51936132030408;-46.61733379223699
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;18;CITY;1072.135;-23.519351343617142;-46.618264186714235
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;19;CITY;576.072;-23.519382106688866;-46.61853550725831
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;20;CITY;668.084;-23.51948486441868;-46.618199265526854
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;21;SHADOWS;6792.832;-23.519210808723454;-46.621995426802336
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;22;CITY;788.099;-23.51947780361979;-46.61882622888493
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;23;VEG;444.055;-23.519404467389492;-46.62108497063947
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;24;CITY;652.08;-23.519404911186403;-46.62189193281873
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;25;CITY;1440.178;-23.519393437118364;-46.62068124450549
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;26;CITY;608.075;-23.519458153338228;-46.621838282780494
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;27;VEG;1096.134;-23.51944514801118;-46.622475347150534
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;28;CITY;1248.155;-23.519380893355233;-46.62012610912718
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;29;CITY;648.081;-23.519514182649377;-46.619792808238586
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;30;VEG;732.093;-23.51954045667422;-46.61733893866046
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;31;VEG;1796.217;-23.51953497997775;-46.624147651739555
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;32;CITY;1240.155;-23.519524507533085;-46.61880637177095
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;33;CITY;412.052;-23.51966105238155;-46.61661788865957
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;34;CITY;632.08;-23.519660529934207;-46.61801446337941
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;35;CITY;764.093;-23.519562716094164;-46.622693489009336
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;36;VEG;1376.169;-23.519499483353318;-46.62174139731365
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;37;CITY;816.101;-23.51961418143145;-46.61989381357058
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;38;CITY;528.064;-23.519621846458556;-46.62378810806192
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;39;CITY;964.119;-23.519541581848006;-46.620776503837554
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;40;CITY;428.053;-23.519545009143425;-46.62049415316451
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;41;SHADOWS;2988.378;-23.519269089545283;-46.61721157419618
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;42;CITY;1520.192;-23.519508153035353;-46.61718267747383
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;43;VEG;940.119;-23.519563507830945;-46.616640337734964
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;44;CITY;436.055;-23.519703182317667;-46.61728261906526
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;45;CITY;1144.14;-23.519704145448983;-46.62242966439878
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;46;CITY;1656.2;-23.51963991551848;-46.62443729585232
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;47;CITY;520.065;-23.519809063071843;-46.61799347103568
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;48;CITY;712.086;-23.519746461392778;-46.624415981530625
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;49;CITY;1232.15;-23.51968706449962;-46.62327547763824
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;50;CITY;1780.223;-23.519651123516898;-46.6189286983082
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;51;CITY;416.052;-23.51972767292962;-46.618241856884794
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;52;VEG;796.096;-23.51977842481703;-46.623541285122876
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;53;CITY;1128.138;-23.51963053076223;-46.62173545254235
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;54;CITY;892.109;-23.51974552100159;-46.62177989223036
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;55;CITY;604.075;-23.519707447771292;-46.62047937620598
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;56;CITY;624.077;-23.519770900197802;-46.62133655743742
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;57;CITY;1000.126;-23.519659901294023;-46.61724509196365
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;58;CITY;976.123;-23.51974347938217;-46.61734225189366
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;59;VEG;808.103;-23.519854613262037;-46.61661579696226
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;60;CITY;732.092;-23.51987487575306;-46.61821766577304
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;61;CITY;1324.159;-23.519815213501143;-46.62448828532827
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;62;CITY;528.066;-23.51985281810202;-46.61996496261108
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;63;VEG;1104.136;-23.519828388942372;-46.620749373371865
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;64;VEG;580.072;-23.519724452301098;-46.619441557696945
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;65;VEG;540.067;-23.51985027648549;-46.619731924656854
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;66;CITY;1016.127;-23.519811696613644;-46.618916158799465
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;67;CITY;904.109;-23.519910274381072;-46.623956209401896
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;68;CITY;616.075;-23.519820304197765;-46.62262707703645
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;69;CITY;520.063;-23.519904736621672;-46.62250940043478
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;70;CITY;1188.147;-23.519648900134044;-46.62068183614985
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;71;CITY;796.096;-23.519946009418426;-46.62461545747903
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;72;CITY;1384.168;-23.519847506009384;-46.62330587464189
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;73;VEG;1816.226;-23.519740351324955;-46.619695324363185
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;74;CITY;544.065;-23.519642039602747;-46.625281443821386
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;75;CITY;752.095;-23.519863632552685;-46.617380111244614
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;76;VEG;488.062;-23.520000019827766;-46.61588966112978
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;77;CITY;1260.156;-23.51990627199893;-46.62022408580776
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;78;CITY;916.116;-23.51993263213368;-46.61769136622941
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;79;VEG;488.06;-23.519981382515166;-46.620871554949396
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;80;VEG;604.076;-23.519961793419387;-46.617448706875756
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;81;CITY;1112.135;-23.5199801081553;-46.62340542199204
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;82;CITY;980.12;-23.519889625235763;-46.62204878379684
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;83;CITY;532.067;-23.519955327027432;-46.6186649893425
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;84;CITY;464.056;-23.520042167708464;-46.62348306870312
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;85;CITY;620.075;-23.52008992953442;-46.62480028619643
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;86;CITY;700.087;-23.520003456865247;-46.62049474225142
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;87;CITY;748.09;-23.519846209591645;-46.62498624172314
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;88;CITY;664.084;-23.519919046971598;-46.61710680690838
PARI;PRI;56;25;2730000.0;6.631;305038.195;2233288.04;191273.088;89;CITY;944.12;-23.520010772272727;-46.616167397649185
