NAME_DIST;ACRONYM_DIST;COD_DIST;COD_SUB;AREA_DIST_m2;PERIMETER_DIST_km;AREA_DIST_VEG_m2;AREA_DIST_CITY_m2;AREA_DIST_SHADOWS_m2;DN;PREDICTED;AREA_POLYGON_m2;LAT;LONG
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;1;SHADOWS;456.028;-23.54518512661209;-46.692888913091465
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;2;SHADOWS;436.027;-23.545414418945928;-46.692475759450986
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;3;CITY;1100.069;-23.54546575301815;-46.69261037930039
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;4;CITY;752.047;-23.54561686097129;-46.69223133761008
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;5;CITY;1488.093;-23.54558864058953;-46.69278740605208
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;6;CITY;420.026;-23.545747458491363;-46.69207909461651
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;7;CITY;596.037;-23.54561078891184;-46.69258021735215
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;8;SHADOWS;740.046;-23.545878935850155;-46.69268913059632
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;9;CITY;676.043;-23.545906856220203;-46.69206931268793
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;10;CITY;552.035;-23.54602395438415;-46.69237512558144
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;11;CITY;528.033;-23.54595968170721;-46.69229428920696
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;12;CITY;880.056;-23.546101175295533;-46.69171155763697
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;13;CITY;492.031;-23.54620523603;-46.6915997007472
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;14;CITY;780.05;-23.54622425325137;-46.69136226358365
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;15;CITY;1416.089;-23.546034529332704;-46.691936023859824
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;16;CITY;1088.069;-23.54636308911616;-46.69190707387303
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;17;CITY;1720.108;-23.54621575536489;-46.69237002939602
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;18;CITY;572.036;-23.546521735486465;-46.69137859754482
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;19;SHADOWS;804.051;-23.54653151248574;-46.69092958116441
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;20;SHADOWS;676.043;-23.54663826024427;-46.692215332534765
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;21;CITY;1068.067;-23.54664356587365;-46.69245553037397
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;22;VEG;548.034;-23.5467876896858;-46.69218056387152
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;23;CITY;1932.122;-23.54664116721732;-46.69182281273769
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;24;CITY;1112.071;-23.54660645405775;-46.691244268108456
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;25;CITY;876.056;-23.54675511865773;-46.69093518414091
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;26;CITY;816.051;-23.546954264814225;-46.69234270497254
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;27;CITY;816.052;-23.54686128085585;-46.69118975854061
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;28;CITY;1228.078;-23.54664209555192;-46.69153989125744
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;29;CITY;488.032;-23.54706881868565;-46.69021639507647
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;30;CITY;416.027;-23.54706348254852;-46.690460591124754
PINHEIROS;PIN;62;11;8319000.0;13.5;2372683.965;4746735.089;1199176.907;31;CITY;1124.072;-23.546907776408247;-46.69052619408177
