NAME_DIST;ACRONYM_DIST;COD_DIST;COD_SUB;AREA_DIST_m2;PERIMETER_DIST_km;AREA_DIST_VEG_m2;AREA_DIST_CITY_m2;AREA_DIST_SHADOWS_m2;DN;PREDICTED;AREA_POLYGON_m2;LAT;LONG
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;1;CITY;716.111;-23.494870574850463;-46.58304947706144
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;2;CITY;492.076;-23.49498166217401;-46.58370045125537
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;3;CITY;608.094;-23.49500808984954;-46.5822593996746
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;4;CITY;1544.239;-23.495029559237874;-46.5828324021576
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;5;CITY;520.082;-23.495128303660028;-46.58000033809324
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;6;CITY;1060.164;-23.495021170389983;-46.58323404174018
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;7;CITY;788.123;-23.49511478670161;-46.58139480254323
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;8;CITY;484.075;-23.495077313834656;-46.58171910591536
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;9;CITY;936.145;-23.495027167128892;-46.582495413428596
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;10;CITY;588.092;-23.495186831297392;-46.579613776680745
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;11;CITY;692.106;-23.49514197107051;-46.58400695715801
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;12;CITY;1124.176;-23.495255686634042;-46.580123358316
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;13;CITY;1004.154;-23.495173503789843;-46.5838339386183
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;14;CITY;1152.177;-23.49516346102876;-46.584325139942344
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;15;CITY;500.079;-23.495253589400384;-46.57897463617848
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;16;CITY;844.132;-23.495197260348377;-46.581028443340415
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;17;CITY;1536.24;-23.49517855202025;-46.58069444158919
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;18;CITY;504.078;-23.495237008086484;-46.582636859101186
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;19;CITY;1040.163;-23.49525799578303;-46.579698879941475
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;20;CITY;912.142;-23.49524605920045;-46.581315139753826
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;21;CITY;548.085;-23.49517057193753;-46.58193789126921
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;22;CITY;1428.22;-23.49513998175513;-46.58345913541111
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;23;CITY;940.145;-23.495336612088114;-46.58318991104772
VILA MARIA;VMR;89;07;11845000.0;14.574;993453.022;10439843.82;409679.633;24;CITY;488.077;-23.495276615400208;-46.579378374902404
