NAME_DIST;ACRONYM_DIST;COD_DIST;COD_SUB;AREA_DIST_m2;PERIMETER_DIST_km;AREA_DIST_VEG_m2;AREA_DIST_CITY_m2;AREA_DIST_SHADOWS_m2;DN;PREDICTED;AREA_POLYGON_m2;LAT;LONG
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;1;CITY;1168.182;-23.573197160612967;-46.58177475803619
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;2;CITY;460.072;-23.573422752288582;-46.58228630693063
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;3;VEG;1712.268;-23.573369531093746;-46.581273679301454
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;4;CITY;592.092;-23.573597950599346;-46.582243839288836
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;5;CITY;480.075;-23.573567062874353;-46.58266363143757
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;6;CITY;864.136;-23.573580845205232;-46.5809956969998
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;7;CITY;592.092;-23.57366871106457;-46.582496769279395
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;8;CITY;604.094;-23.573732597166106;-46.58289260727268
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;9;CITY;1892.295;-23.573492570284074;-46.58192672481054
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;10;CITY;656.102;-23.573706657839292;-46.58208962135413
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;11;CITY;1840.288;-23.573570460721722;-46.58146864980897
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;12;CITY;536.083;-23.57383626954557;-46.582666231722804
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;13;CITY;796.124;-23.57382780564001;-46.581878062193866
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;14;CITY;952.15;-23.57393535444638;-46.580731028270826
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;15;CITY;520.081;-23.573926630601772;-46.58307997375668
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;16;CITY;868.135;-23.573913563934767;-46.58241855398342
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;17;CITY;952.149;-23.573755990253655;-46.58166834481523
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;18;CITY;704.109;-23.57389095257242;-46.58332714108426
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;19;SHADOWS;576.09;-23.573994814280525;-46.580972125012416
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;20;CITY;656.102;-23.573944740432566;-46.58282607069255
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;21;CITY;812.128;-23.57407622738707;-46.57996937322375
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;22;CITY;1632.256;-23.573799003423186;-46.58094944106829
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;23;CITY;408.063;-23.5740230339637;-46.583679593082074
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;24;CITY;1068.167;-23.573960959796064;-46.581524038103154
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;25;CITY;596.093;-23.574160330842968;-46.58173635193848
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;26;CITY;436.067;-23.574178242415517;-46.58354642952216
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;27;CITY;468.073;-23.5741259871229;-46.58328197311932
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;28;CITY;528.082;-23.57420827043306;-46.58231760874445
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;29;CITY;1564.246;-23.574092025738494;-46.580255808190586
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;30;CITY;1556.242;-23.574150874998086;-46.58298326987197
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;31;CITY;596.093;-23.574287930593428;-46.58175234150839
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;32;CITY;1036.164;-23.574237562722267;-46.579789310391654
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;33;CITY;592.092;-23.5741574230277;-46.58239181098346
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;34;CITY;1484.232;-23.574078556452267;-46.58206227636859
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;35;CITY;1604.248;-23.574250470228115;-46.58388198914485
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;36;CITY;456.07;-23.57429857644454;-46.58423177914266
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;37;CITY;452.07;-23.574278255632898;-46.58261738108418
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;38;CITY;924.143;-23.574257047800838;-46.58335266447756
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;39;CITY;672.106;-23.57440046976286;-46.580214021469345
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;40;CITY;876.137;-23.574413931787312;-46.582147985009335
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;41;CITY;488.077;-23.574563909278808;-46.57964139716807
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;42;CITY;1252.195;-23.574314669995964;-46.58263386551557
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;43;CITY;516.081;-23.57446309424035;-46.5812785089354
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;44;CITY;792.122;-23.574478933603487;-46.58379667248612
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;45;CITY;2048.322;-23.574297304726993;-46.58066607603454
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;46;CITY;688.106;-23.574436330211526;-46.58421812894848
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;47;CITY;3276.514;-23.574212983873686;-46.58114485706595
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;48;CITY;484.076;-23.574539152787175;-46.58066745322111
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;49;CITY;756.12;-23.574429835316902;-46.57941033113843
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;50;CITY;712.11;-23.57448306078705;-46.58348386624784
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;51;CITY;768.118;-23.57437786710211;-46.58452015244558
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;52;CITY;1580.245;-23.57450176329249;-46.582991043574154
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;53;CITY;868.136;-23.574529885199578;-46.58110172371219
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;54;SHADOWS;1104.174;-23.57463044364442;-46.58004393071098
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;55;CITY;640.099;-23.574620015475485;-46.58295836706586
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;56;CITY;2056.324;-23.574512748595875;-46.57994016016853
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;57;CITY;464.073;-23.5747650112992;-46.581669529543305
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;58;CITY;1028.161;-23.57461913544612;-46.581491920738344
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;59;CITY;1084.169;-23.574601600911958;-46.581775566998076
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;60;CITY;572.088;-23.574647549175076;-46.58448230944017
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;61;CITY;488.076;-23.57470390899422;-46.583587525182665
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;62;CITY;3452.538;-23.57469225827326;-46.58231740410641
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;63;CITY;2144.331;-23.574748013749367;-46.584001254304845
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;64;CITY;1716.271;-23.57477866812466;-46.58004048284378
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;65;CITY;1076.169;-23.57483432070959;-46.5808885558909
VILA PRUDENTE;VPR;93;29;9585000.0;15.956;931731.437;8147704.388;504088.353;66;CITY;692.109;-23.574716277571397;-46.58069123583487
